epoch,Mean_Val_Acc,Std_Val_Acc,Min_Val_Acc,Max_Val_Acc,Num_Folds
92,1.0,0.0,1.0,1.0,5
91,1.0,0.0,1.0,1.0,5
90,1.0,0.0,1.0,1.0,10
100,1.0,0.0,1.0,1.0,5
70,1.0,0.0,1.0,1.0,20
71,1.0,0.0,1.0,1.0,15
74,1.0,0.0,1.0,1.0,15
73,1.0,0.0,1.0,1.0,15
75,1.0,0.0,1.0,1.0,15
76,1.0,0.0,1.0,1.0,15
79,1.0,0.0,1.0,1.0,15
80,1.0,0.0,1.0,1.0,15
84,1.0,0.0,1.0,1.0,10
82,1.0,0.0,1.0,1.0,10
83,1.0,0.0,1.0,1.0,10
89,1.0,0.0,1.0,1.0,10
88,1.0,0.0,1.0,1.0,10
87,1.0,0.0,1.0,1.0,10
86,1.0,0.0,1.0,1.0,10
85,1.0,0.0,1.0,1.0,10
94,1.0,0.0,1.0,1.0,5
96,1.0,0.0,1.0,1.0,5
98,1.0,0.0,1.0,1.0,5
97,1.0,0.0,1.0,1.0,5
53,1.0,0.0,1.0,1.0,25
66,1.0,0.0,1.0,1.0,20
64,1.0,0.0,1.0,1.0,20
61,1.0,0.0,1.0,1.0,20
68,1.0,0.0,1.0,1.0,20
54,1.0,0.0,1.0,1.0,25
59,1.0,0.0,1.0,1.0,25
67,1.0,0.0,1.0,1.0,20
65,1.0,0.0,1.0,1.0,20
50,1.0,0.0,1.0,1.0,30
47,1.0,0.0,1.0,1.0,30
39,1.0,0.0,1.0,1.0,35
99,1.0,0.0,1.0,1.0,5
44,0.9997,0.0016,0.9911,1.0,30
49,0.9997,0.0016,0.9911,1.0,30
35,0.9997,0.0015,0.9911,1.0,35
37,0.9997,0.0015,0.9911,1.0,35
45,0.9997,0.0016,0.9911,1.0,30
52,0.9996,0.0018,0.9911,1.0,25
69,0.9996,0.002,0.9911,1.0,20
60,0.9996,0.0018,0.9911,1.0,25
58,0.9996,0.0018,0.9911,1.0,25
55,0.9996,0.0018,0.9911,1.0,25
62,0.9996,0.002,0.9911,1.0,20
51,0.9996,0.0018,0.9911,1.0,25
48,0.9994,0.0023,0.9911,1.0,30
78,0.9994,0.0023,0.9911,1.0,15
41,0.9994,0.0023,0.9911,1.0,30
77,0.9994,0.0023,0.9911,1.0,15
42,0.9994,0.0023,0.9911,1.0,30
72,0.9994,0.0023,0.9911,1.0,15
30,0.9993,0.0031,0.9821,1.0,40
38,0.9992,0.0025,0.9911,1.0,35
40,0.9992,0.0033,0.9821,1.0,35
43,0.9991,0.0049,0.9732,1.0,30
81,0.9991,0.0028,0.9911,1.0,10
63,0.9991,0.004,0.9821,1.0,20
32,0.999,0.0029,0.9911,1.0,35
28,0.9989,0.0041,0.9821,1.0,40
57,0.9989,0.0054,0.9732,1.0,25
46,0.9988,0.0045,0.9821,1.0,30
23,0.9987,0.0059,0.9643,1.0,40
29,0.9987,0.0038,0.9821,1.0,40
36,0.9985,0.004,0.9821,1.0,35
34,0.9985,0.0067,0.9643,1.0,35
95,0.9982,0.004,0.9911,1.0,5
22,0.9982,0.0046,0.9821,1.0,40
24,0.9982,0.005,0.9821,1.0,40
27,0.9978,0.006,0.9732,1.0,40
19,0.9978,0.0054,0.9732,1.0,45
33,0.9977,0.005,0.9821,1.0,35
18,0.9976,0.0048,0.9821,1.0,45
26,0.9975,0.0053,0.9821,1.0,40
12,0.9974,0.0065,0.9643,1.0,45
31,0.9974,0.0056,0.9821,1.0,35
14,0.9974,0.0059,0.9732,1.0,45
25,0.9973,0.0073,0.9643,1.0,40
15,0.9972,0.0085,0.9464,1.0,45
13,0.9968,0.0066,0.9732,1.0,45
17,0.9966,0.0079,0.9643,1.0,45
56,0.9964,0.0103,0.9643,1.0,25
93,0.9964,0.008,0.9821,1.0,5
8,0.9955,0.0081,0.9732,1.0,50
20,0.995,0.0158,0.9018,1.0,45
21,0.9946,0.0154,0.9107,1.0,40
16,0.9946,0.0125,0.9464,1.0,45
11,0.9942,0.0116,0.9464,1.0,45
6,0.9936,0.0105,0.9464,1.0,50
10,0.9936,0.0183,0.875,1.0,50
9,0.9909,0.0136,0.9464,1.0,50
5,0.99,0.0132,0.9464,1.0,50
7,0.9887,0.0177,0.9286,1.0,50
3,0.9873,0.0151,0.9375,1.0,50
4,0.9866,0.0146,0.9554,1.0,50
2,0.9796,0.0199,0.9196,1.0,50
1,0.9636,0.0349,0.8214,1.0,50
